R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b
0.062500,0.125000,0.000000,0.005156,0.014350,0.000000,0.007636,0.011359,0.001662,0.009730,0.010885,0.004675,0.213486,0.221619,0.167211,0.220129,-0.040602,0.043787
0.125000,0.125000,0.000000,0.014350,0.014350,0.000000,0.011626,0.013314,0.001826,0.013525,0.012842,0.005534,0.238259,0.234180,0.176879,0.235272,-0.017750,0.046443
0.187500,0.125000,0.000000,0.029343,0.014350,0.000000,0.018132,0.016503,0.002092,0.019715,0.016035,0.006934,0.270145,0.252167,0.190692,0.256201,0.007859,0.050179
0.250000,0.125000,0.000000,0.050876,0.014350,0.000000,0.027476,0.021082,0.002474,0.028604,0.020620,0.008945,0.305826,0.274218,0.207587,0.281141,0.032498,0.054701
0.312500,0.125000,0.000000,0.079581,0.014350,0.000000,0.039933,0.027187,0.002984,0.040454,0.026732,0.011626,0.343283,0.299004,0.226542,0.308618,0.054933,0.059745
0.375000,0.125000,0.000000,0.116016,0.014350,0.000000,0.055744,0.034936,0.003631,0.055494,0.034490,0.015029,0.381431,0.325510,0.246783,0.337599,0.075138,0.065113
0.437500,0.125000,0.000000,0.160683,0.014350,0.000000,0.075127,0.044435,0.004424,0.073933,0.044001,0.019201,0.419707,0.353037,0.267779,0.367415,0.093458,0.070672
0.500000,0.125000,0.000000,0.214041,0.014350,0.000000,0.098282,0.055783,0.005371,0.095960,0.055362,0.024185,0.457822,0.381128,0.289189,0.397643,0.110274,0.076335
0.562500,0.125000,0.000000,0.276518,0.014350,0.000000,0.125393,0.069070,0.006481,0.121751,0.068665,0.030020,0.495630,0.409492,0.310793,0.428022,0.125908,0.082046
0.625000,0.125000,0.000000,0.348510,0.014350,0.000000,0.156635,0.084381,0.007759,0.151470,0.083994,0.036744,0.533060,0.437942,0.332453,0.458389,0.140610,0.087770
0.687500,0.125000,0.000000,0.430393,0.014350,0.000000,0.192168,0.101795,0.009213,0.185272,0.101429,0.044392,0.570081,0.466360,0.354081,0.488646,0.154569,0.093484
0.750000,0.125000,0.000000,0.522522,0.014350,0.000000,0.232147,0.121389,0.010849,0.223304,0.121046,0.052997,0.606688,0.494671,0.375621,0.518730,0.167926,0.099174
0.812500,0.125000,0.000000,0.625232,0.014350,0.000000,0.276718,0.143232,0.012673,0.265704,0.142915,0.062590,0.642884,0.522829,0.397041,0.548607,0.180789,0.104832
0.875000,0.125000,0.000000,0.738845,0.014350,0.000000,0.326020,0.167395,0.014690,0.312604,0.167107,0.073201,0.678680,0.550805,0.418318,0.578256,0.193238,0.110452
0.937500,0.125000,0.000000,0.863669,0.014350,0.000000,0.380188,0.193941,0.016907,0.364133,0.193685,0.084860,0.714091,0.578583,0.439441,0.607668,0.205338,0.116030
1.000000,0.125000,0.000000,1.000000,0.014350,0.000000,0.439349,0.222935,0.019327,0.420412,0.222714,0.097593,0.749132,0.606153,0.460405,0.636837,0.217139,0.121567
0.000000,0.187500,0.000000,0.000000,0.029343,0.000000,0.011039,0.020985,0.003212,0.015544,0.020013,0.008575,0.249567,0.271499,0.204683,0.267155,-0.073489,0.053465
0.062500,0.187500,0.000000,0.005156,0.029343,0.000000,0.013276,0.022081,0.003304,0.017672,0.021110,0.009057,0.260473,0.276375,0.208444,0.273305,-0.062063,0.054522
0.125000,0.187500,0.000000,0.014350,0.029343,0.000000,0.017266,0.024036,0.003467,0.021468,0.023068,0.009915,0.277925,0.284667,0.214835,0.283533,-0.044801,0.056297
0.187500,0.187500,0.000000,0.029343,0.029343,0.000000,0.023772,0.027225,0.003733,0.027657,0.026261,0.011316,0.302414,0.297236,0.224506,0.298622,-0.022530,0.058949
0.250000,0.187500,0.000000,0.050876,0.029343,0.000000,0.033117,0.031805,0.004115,0.036546,0.030846,0.013327,0.331854,0.313615,0.237089,0.317765,0.001593,0.062358
0.312500,0.187500,0.000000,0.079581,0.029343,0.000000,0.045573,0.037909,0.004625,0.048396,0.036958,0.016008,0.364421,0.333095,0.252026,0.340018,0.025433,0.066370
0.375000,0.187500,0.000000,0.116016,0.029343,0.000000,0.061384,0.045658,0.005272,0.063437,0.044716,0.019411,0.398823,0.354938,0.268751,0.364525,0.047967,0.070835
0.437500,0.187500,0.000000,0.160683,0.029343,0.000000,0.080767,0.055157,0.006065,0.081875,0.054226,0.023583,0.434228,0.378503,0.286769,0.390604,0.068888,0.075627
0.500000,0.187500,0.000000,0.214041,0.029343,0.000000,0.103922,0.066505,0.007013,0.103902,0.065588,0.028567,0.470120,0.403281,0.305693,0.417745,0.088235,0.080648
0.562500,0.187500,0.000000,0.276518,0.029343,0.000000,0.131034,0.079792,0.008122,0.129693,0.078891,0.034402,0.506181,0.428886,0.325232,0.445575,0.106184,0.085824
