R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b
0.250000,0.750000,0.062500,0.050876,0.522522,0.005156,0.219634,0.384874,0.062602,0.298095,0.367749,0.160621,0.668013,0.716446,0.543585,0.706957,-0.173691,0.138534
0.312500,0.750000,0.062500,0.079581,0.522522,0.005156,0.232091,0.390979,0.063112,0.309945,0.373861,0.163302,0.676750,0.720394,0.546593,0.711917,-0.164641,0.139418
0.375000,0.750000,0.062500,0.116016,0.522522,0.005156,0.247902,0.398728,0.063759,0.324986,0.381619,0.166705,0.687524,0.725343,0.550364,0.718096,-0.153649,0.140522
0.437500,0.750000,0.062500,0.160683,0.522522,0.005156,0.267285,0.408227,0.064552,0.343425,0.391129,0.170877,0.700289,0.731319,0.554917,0.725507,-0.140863,0.141848
0.500000,0.750000,0.062500,0.214041,0.522522,0.005156,0.290440,0.419575,0.065500,0.365451,0.402491,0.175861,0.714951,0.738333,0.560260,0.734137,-0.126486,0.143397
0.562500,0.750000,0.062500,0.276518,0.522522,0.005156,0.317551,0.432862,0.066609,0.391242,0.415794,0.181696,0.731389,0.746379,0.566390,0.743957,-0.110751,0.145165
0.625000,0.750000,0.062500,0.348510,0.522522,0.005156,0.348792,0.448173,0.067887,0.420962,0.431123,0.188420,0.749458,0.755441,0.573292,0.754923,-0.093908,0.147144
0.687500,0.750000,0.062500,0.430393,0.522522,0.005156,0.384326,0.465588,0.069341,0.454764,0.448558,0.196068,0.769004,0.765490,0.580946,0.766981,-0.076204,0.149327
0.750000,0.750000,0.062500,0.522522,0.522522,0.005156,0.424305,0.485181,0.070977,0.492795,0.468175,0.204673,0.789870,0.776490,0.589323,0.780068,-0.057871,0.151704
0.812500,0.750000,0.062500,0.625232,0.522522,0.005156,0.468876,0.507024,0.072801,0.535195,0.490044,0.214266,0.811903,0.788397,0.598390,0.794118,-0.039122,0.154263
0.875000,0.750000,0.062500,0.738845,0.522522,0.005156,0.518178,0.531187,0.074818,0.582096,0.514236,0.224877,0.834958,0.801163,0.608110,0.809061,-0.020141,0.156993
0.937500,0.750000,0.062500,0.863669,0.522522,0.005156,0.572346,0.557733,0.077035,0.633625,0.540814,0.236536,0.858903,0.814734,0.618442,0.824829,-0.001083,0.159881
1.000000,0.750000,0.062500,1.000000,0.522522,0.005156,0.631506,0.586727,0.079456,0.689903,0.569842,0.249269,0.883614,0.829058,0.629346,0.841353,0.017923,0.162915
0.000000,0.812500,0.062500,0.000000,0.625232,0.005156,0.236197,0.447508,0.072943,0.331502,0.426967,0.185886,0.692089,0.753005,0.570710,0.740928,-0.202633,0.145840
0.062500,0.812500,0.062500,0.005156,0.625232,0.005156,0.238434,0.448604,0.073034,0.333630,0.428065,0.186367,0.693567,0.753650,0.571202,0.741748,-0.201054,0.145985
0.125000,0.812500,0.062500,0.014350,0.625232,0.005156,0.242424,0.450560,0.073197,0.337426,0.430022,0.187226,0.696187,0.754797,0.572078,0.743207,-0.198263,0.146242
0.187500,0.812500,0.062500,0.029343,0.625232,0.005156,0.248930,0.453748,0.073464,0.343615,0.433215,0.188626,0.700418,0.756661,0.573501,0.745570,-0.193778,0.146660
0.250000,0.812500,0.062500,0.050876,0.625232,0.005156,0.258275,0.458328,0.073846,0.352504,0.437800,0.190637,0.706407,0.759321,0.575532,0.748933,-0.187478,0.147255
0.312500,0.812500,0.062500,0.079581,0.625232,0.005156,0.270731,0.464433,0.074356,0.364354,0.443912,0.193318,0.714235,0.762838,0.578217,0.753361,-0.179325,0.148039
0.375000,0.812500,0.062500,0.116016,0.625232,0.005156,0.286542,0.472181,0.075003,0.379395,0.451670,0.196721,0.723931,0.767256,0.581590,0.758894,-0.169357,0.149021
0.437500,0.812500,0.062500,0.160683,0.625232,0.005156,0.305925,0.481681,0.075796,0.397833,0.461180,0.200893,0.735474,0.772604,0.585673,0.765551,-0.157674,0.150205
0.500000,0.812500,0.062500,0.214041,0.625232,0.005156,0.329080,0.493029,0.076743,0.419860,0.472542,0.205877,0.748804,0.778897,0.590476,0.773331,-0.144425,0.151592
0.562500,0.812500,0.062500,0.276518,0.625232,0.005156,0.356192,0.506316,0.077853,0.445651,0.485845,0.211712,0.763833,0.786139,0.596003,0.782219,-0.129795,0.153180
0.625000,0.812500,0.062500,0.348510,0.625232,0.005156,0.387433,0.521626,0.079131,0.475371,0.501174,0.218436,0.780448,0.794321,0.602247,0.792184,-0.113988,0.154966
0.687500,0.812500,0.062500,0.430393,0.625232,0.005156,0.422966,0.539041,0.080585,0.509173,0.518609,0.226084,0.798525,0.803428,0.609196,0.803187,-0.097217,0.156944
0.750000,0.812500,0.062500,0.522522,0.625232,0.005156,0.462945,0.558634,0.082221,0.547204,0.538226,0.234689,0.817931,0.813432,0.616828,0.815180,-0.079691,0.159106
0.812500,0.812500,0.062500,0.625232,0.625232,0.005156,0.507516,0.580478,0.084045,0.589604,0.560095,0.244282,0.838533,0.824304,0.625121,0.828109,-0.061606,0.161443
0.875000,0.812500,0.062500,0.738845,0.625232,0.005156,0.556819,0.604640,0.086062,0.636505,0.584287,0.254893,0.860202,0.836005,0.634044,0.841919,-0.043139,0.163947
0.937500,0.812500,0.062500,0.863669,0.625232,0.005156,0.610986,0.631187,0.088278,0.688033,0.610865,0.266552,0.882815,0.848493,0.643567,0.856551,-0.024450,0.166608
1.000000,0.812500,0.062500,1.000000,0.625232,0.005156,0.670147,0.660181,0.090699,0.744312,0.639893,0.279285,0.906258,0.861726,0.653656,0.871945,-0.005672,0.169415
0.000000,0.875000,0.062500,0.000000,0.738845,0.005156,0.278939,0.528758,0.085380,0.391687,0.504454,0.219088,0.731666,0.796050,0.602846,0.783287,-0.214409,0.154572
0.062500,0.875000,0.062500,0.005156,0.738845,0.005156,0.281177,0.529855,0.085471,0.393815,0.505552,0.219569,0.732989,0.796627,0.603287,0.784022,-0.212995,0.154701
0.125000,0.875000,0.062500,0.014350,0.738845,0.005156,0.285166,0.531810,0.085634,0.397610,0.507510,0.220428,0.735336,0.797654,0.604073,0.785328,-0.210492,0.154931
0.187500,0.875000,0.062500,0.029343,0.738845,0.005156,0.291673,0.534999,0.085901,0.403800,0.510702,0.221829,0.739132,0.799323,0.605349,0.787446,-0.206462,0.155303
0.250000,0.875000,0.062500,0.050876,0.738845,0.005156,0.301017,0.539578,0.086283,0.412689,0.515287,0.223840,0.744516,0.801708,0.607173,0.790464,-0.200782,0.155835
0.312500,0.875000,0.062500,0.079581,0.738845,0.005156,0.313474,0.545683,0.086793,0.424539,0.521399,0.226521,0.751575,0.804866,0.609587,0.794446,-0.193400,0.156536
0.375000,0.875000,0.062500,0.116016,0.738845,0.005156,0.329285,0.553432,0.087440,0.439579,0.529157,0.229924,0.760348,0.808838,0.612625,0.799432,-0.184326,0.157417
0.437500,0.875000,0.062500,0.160683,0.738845,0.005156,0.348668,0.562931,0.088233,0.458018,0.538668,0.234096,0.770834,0.813655,0.616308,0.805447,-0.173623,0.158481
0.500000,0.875000,0.062500,0.214041,0.738845,0.005156,0.371822,0.574279,0.089180,0.480045,0.550029,0.239079,0.782998,0.819336,0.620651,0.812497,-0.161402,0.159730
0.562500,0.875000,0.062500,0.276518,0.738845,0.005156,0.398934,0.587566,0.090290,0.505836,0.563332,0.244915,0.796777,0.825889,0.625660,0.820577,-0.147806,0.161166
0.625000,0.875000,0.062500,0.348510,0.738845,0.005156,0.430175,0.602877,0.091568,0.535555,0.578661,0.251639,0.812085,0.833313,0.631334,0.829668,-0.133000,0.162786
0.687500,0.875000,0.062500,0.430393,0.738845,0.005156,0.465709,0.620291,0.093022,0.569357,0.596096,0.259287,0.828823,0.841600,0.637666,0.839741,-0.117164,0.164585
0.750000,0.875000,0.062500,0.522522,0.738845,0.005156,0.505688,0.639885,0.094658,0.607389,0.615713,0.267891,0.846881,0.850732,0.644643,0.850761,-0.100480,0.166559
0.812500,0.875000,0.062500,0.625232,0.738845,0.005156,0.550259,0.661728,0.096482,0.649789,0.637583,0.277484,0.866145,0.860688,0.652248,0.862685,-0.083126,0.168701
0.875000,0.875000,0.062500,0.738845,0.738845,0.005156,0.599561,0.685891,0.098499,0.696689,0.661774,0.288096,0.886502,0.871438,0.660459,0.875467,-0.065270,0.171004
0.937500,0.875000,0.062500,0.863669,0.738845,0.005156,0.653728,0.712437,0.100715,0.748218,0.688352,0.299754,0.907840,0.882952,0.669250,0.889060,-0.047063,0.173460
1.000000,0.875000,0.062500,1.000000,0.738845,0.005156,0.712889,0.741431,0.103136,0.804497,0.717381,0.312488,0.930054,0.895193,0.678595,0.903411,-0.028642,0.176060
0.000000,0.937500,0.062500,0.000000,0.863669,0.005156,0.325899,0.618027,0.099044,0.457810,0.589588,0.255567,0.770717,0.838525,0.634602,0.825085,-0.226011,0.163151
0.062500,0.937500,0.062500,0.005156,0.863669,0.005156,0.328137,0.619123,0.099135,0.459938,0.590686,0.256048,0.771910,0.839045,0.635000,0.825747,-0.224736,0.163267
0.125000,0.937500,0.062500,0.014350,0.863669,0.005156,0.332127,0.621079,0.099299,0.463734,0.592643,0.256907,0.774027,0.839971,0.635709,0.826925,-0.222476,0.163473
0.187500,0.937500,0.062500,0.029343,0.863669,0.005156,0.338633,0.624267,0.099565,0.469923,0.595836,0.258307,0.777456,0.841477,0.636862,0.828837,-0.218832,0.163808
0.250000,0.937500,0.062500,0.050876,0.863669,0.005156,0.347977,0.628847,0.099947,0.478812,0.600421,0.260319,0.782327,0.843630,0.638511,0.831564,-0.213682,0.164287
0.312500,0.937500,0.062500,0.079581,0.863669,0.005156,0.360434,0.634952,0.100457,0.490662,0.606533,0.263000,0.788728,0.846483,0.640696,0.835166,-0.206964,0.164919
0.375000,0.937500,0.062500,0.116016,0.863669,0.005156,0.376245,0.642700,0.101104,0.505703,0.614291,0.266403,0.796707,0.850076,0.643447,0.839686,-0.198671,0.165714
0.437500,0.937500,0.062500,0.160683,0.863669,0.005156,0.395628,0.652200,0.101897,0.524142,0.623801,0.270574,0.806274,0.854441,0.646788,0.845150,-0.188841,0.166676
0.500000,0.937500,0.062500,0.214041,0.863669,0.005156,0.418783,0.663548,0.102844,0.546169,0.635163,0.275558,0.817414,0.859597,0.650735,0.851570,-0.177550,0.167809
0.562500,0.937500,0.062500,0.276518,0.863669,0.005156,0.445894,0.676835,0.103954,0.571959,0.648466,0.281393,0.830083,0.865557,0.655297,0.858948,-0.164909,0.169114
0.625000,0.937500,0.062500,0.348510,0.863669,0.005156,0.477135,0.692146,0.105232,0.601679,0.663795,0.288117,0.844219,0.872324,0.660475,0.867272,-0.151051,0.170589
0.687500,0.937500,0.062500,0.430393,0.863669,0.005156,0.512669,0.709560,0.106686,0.635481,0.681230,0.295765,0.859741,0.879896,0.666268,0.876524,-0.136126,0.172233
0.750000,0.937500,0.062500,0.522522,0.863669,0.005156,0.552648,0.729153,0.108322,0.673512,0.700847,0.304370,0.876560,0.888262,0.672668,0.886677,-0.120291,0.174043
0.812500,0.937500,0.062500,0.625232,0.863669,0.005156,0.597219,0.750997,0.110146,0.715912,0.722716,0.313963,0.894581,0.897407,0.679662,0.897699,-0.103703,0.176012
0.875000,0.937500,0.062500,0.738845,0.863669,0.005156,0.646521,0.775159,0.112163,0.762813,0.746908,0.324575,0.913705,0.907310,0.687234,0.909552,-0.086515,0.178135
0.937500,0.937500,0.062500,0.863669,0.863669,0.005156,0.700689,0.801706,0.114380,0.814342,0.773486,0.336233,0.933832,0.917947,0.695366,0.922196,-0.068872,0.180407
1.000000,0.937500,0.062500,1.000000,0.863669,0.005156,0.759849,0.830700,0.116800,0.870620,0.802514,0.348966,0.954867,0.929289,0.704035,0.935590,-0.050905,0.182820
0.000000,1.000000,0.062500,0.000000,1.000000,0.005156,0.377189,0.715524,0.113968,0.530029,0.682569,0.295408,0.809282,0.880472,0.666000,0.866363,-0.237454,0.171594
0.062500,1.000000,0.062500,0.005156,1.000000,0.005156,0.379426,0.716621,0.114059,0.532157,0.683667,0.295890,0.810364,0.880944,0.666362,0.866964,-0.236297,0.171699
0.125000,1.000000,0.062500,0.014350,1.000000,0.005156,0.383416,0.718576,0.114223,0.535953,0.685625,0.296748,0.812286,0.881784,0.667006,0.868032,-0.234245,0.171886
0.187500,1.000000,0.062500,0.029343,1.000000,0.005156,0.389922,0.721765,0.114489,0.542142,0.688817,0.298149,0.815401,0.883150,0.668053,0.869768,-0.230930,0.172189
0.250000,1.000000,0.062500,0.050876,1.000000,0.005156,0.399266,0.726344,0.114871,0.551031,0.693402,0.300160,0.819833,0.885106,0.669552,0.872246,-0.226236,0.172622
0.312500,1.000000,0.062500,0.079581,1.000000,0.005156,0.411723,0.732449,0.115381,0.562881,0.699514,0.302841,0.825668,0.887699,0.671540,0.875524,-0.220096,0.173196
0.375000,1.000000,0.062500,0.116016,1.000000,0.005156,0.427534,0.740198,0.116028,0.577922,0.707272,0.306244,0.832958,0.890968,0.674045,0.879643,-0.212488,0.173917
0.437500,1.000000,0.062500,0.160683,1.000000,0.005156,0.446917,0.749697,0.116821,0.596361,0.716783,0.310416,0.841724,0.894944,0.677092,0.884631,-0.203432,0.174793
0.500000,1.000000,0.062500,0.214041,1.000000,0.005156,0.470072,0.761045,0.117768,0.618388,0.728144,0.315400,0.851962,0.899648,0.680697,0.890504,-0.192980,0.175825
0.562500,1.000000,0.062500,0.276518,1.000000,0.005156,0.497183,0.774332,0.118878,0.644178,0.741447,0.321235,0.863645,0.905093,0.684869,0.897267,-0.181216,0.177017
0.625000,1.000000,0.062500,0.348510,1.000000,0.005156,0.528425,0.789643,0.120156,0.673898,0.756777,0.327959,0.876728,0.911288,0.689615,0.904918,-0.168246,0.178367
0.687500,1.000000,0.062500,0.430393,1.000000,0.005156,0.563958,0.807057,0.121610,0.707700,0.774212,0.335607,0.891148,0.918234,0.694934,0.913443,-0.154193,0.179875
0.750000,1.000000,0.062500,0.522522,1.000000,0.005156,0.603937,0.826650,0.123246,0.745731,0.793828,0.344211,0.906833,0.925924,0.700823,0.922823,-0.139191,0.181539
0.812500,1.000000,0.062500,0.625232,1.000000,0.005156,0.648508,0.848494,0.125070,0.788131,0.815698,0.353805,0.923704,0.934350,0.707274,0.933034,-0.123378,0.183355
0.875000,1.000000,0.062500,0.738845,1.000000,0.005156,0.697810,0.872656,0.127087,0.835032,0.839889,0.364416,0.941675,0.943497,0.714276,0.944047,-0.106890,0.185319
0.937500,1.000000,0.062500,0.863669,1.000000,0.005156,0.751978,0.899203,0.129304,0.886561,0.866468,0.376075,0.960659,0.953346,0.721813,0.955828,-0.089862,0.187425
1.000000,1.000000,0.062500,1.000000,1.000000,0.005156,0.811138,0.928197,0.131724,0.942839,0.895496,0.388808,0.980571,0.963876,0.729869,0.968343,-0.072419,0.189668
0.000000,0.000000,0.125000,0.000000,0.000000,0.014350,0.002724,0.001036,0.012524,0.000824,0.001507,0.008816,0.093770,0.114659,0.206581,0.109889,0.000100,-0.074876
0.062500,0.000000,0.125000,0.005156,0.000000,0.014350,0.004961,0.002132,0.012616,0.002953,0.002605,0.009298,0.143465,0.137598,0.210276,0.138537,0.044353,-0.058621
0.125000,0.000000,0.125000,0.014350,0.000000,0.014350,0.008951,0.004088,0.012779,0.006748,0.004563,0.010156,0.188972,0.165862,0.216560,0.170519,0.068557,-0.040400
0.187500,0.000000,0.125000,0.029343,0.000000,0.014350,0.015458,0.007276,0.013045,0.012938,0.007755,0.011557,0.234756,0.197939,0.226088,0.205573,0.085507,-0.021809
0.250000,0.000000,0.125000,0.050876,0.000000,0.014350,0.024802,0.011856,0.013428,0.021827,0.012340,0.013568,0.279466,0.231087,0.238508,0.241238,0.099039,-0.004748
0.312500,0.000000,0.125000,0.079581,0.000000,0.014350,0.037259,0.017961,0.013937,0.033677,0.018452,0.016249,0.322931,0.264252,0.253284,0.276645,0.111125,0.010389
0.375000,0.000000,0.125000,0.116016,0.000000,0.014350,0.053069,0.025709,0.014584,0.048717,0.026210,0.019652,0.365225,0.297046,0.269857,0.311505,0.122607,0.023753
0.437500,0.000000,0.125000,0.160683,0.000000,0.014350,0.072452,0.035209,0.015377,0.067156,0.035721,0.023824,0.406470,0.329338,0.287742,0.345740,0.133825,0.035636
0.500000,0.000000,0.125000,0.214041,0.000000,0.014350,0.095607,0.046556,0.016325,0.089183,0.047082,0.028807,0.446780,0.361094,0.306550,0.379349,0.144911,0.046328
0.562500,0.000000,0.125000,0.276518,0.000000,0.014350,0.122719,0.059843,0.017434,0.114974,0.060385,0.034643,0.486257,0.392323,0.325989,0.412362,0.155913,0.056076
0.625000,0.000000,0.125000,0.348510,0.000000,0.014350,0.153960,0.075154,0.018713,0.144693,0.075714,0.041367,0.524988,0.423051,0.345847,0.444819,0.166843,0.065074
0.687500,0.000000,0.125000,0.430393,0.000000,0.014350,0.189493,0.092569,0.020167,0.178495,0.093150,0.049015,0.563044,0.453308,0.365967,0.476758,0.177701,0.073474
0.750000,0.000000,0.125000,0.522522,0.000000,0.014350,0.229472,0.112162,0.021802,0.216527,0.112766,0.057619,0.600487,0.483125,0.386239,0.508219,0.188486,0.081390
0.812500,0.000000,0.125000,0.625232,0.000000,0.014350,0.274043,0.134005,0.023626,0.258926,0.134636,0.067212,0.637371,0.512531,0.406583,0.539236,0.199193,0.088911
0.875000,0.000000,0.125000,0.738845,0.000000,0.014350,0.323346,0.158168,0.025644,0.305827,0.158827,0.077824,0.673740,0.541554,0.426944,0.569839,0.209821,0.096106
0.937500,0.000000,0.125000,0.863669,0.000000,0.014350,0.377513,0.184715,0.027860,0.357356,0.185406,0.089482,0.709633,0.570218,0.447280,0.600059,0.220367,0.103029
1.000000,0.000000,0.125000,1.000000,0.000000,0.014350,0.436674,0.213709,0.030281,0.413635,0.214434,0.102216,0.745085,0.598546,0.467562,0.629919,0.230832,0.109720
0.000000,0.062500,0.125000,0.000000,0.005156,0.014350,0.004664,0.004723,0.013089,0.003556,0.005024,0.010323,0.152630,0.171267,0.217736,0.167156,-0.015927,-0.038061
0.062500,0.062500,0.125000,0.005156,0.005156,0.014350,0.006901,0.005819,0.013180,0.005684,0.006121,0.010804,0.178464,0.182930,0.221071,0.181835,0.008351,-0.030959
0.125000,0.062500,0.125000,0.014350,0.005156,0.014350,0.010891,0.007775,0.013343,0.009479,0.008079,0.011663,0.211638,0.200658,0.226779,0.202862,0.033489,-0.020839
0.187500,0.062500,0.125000,0.029343,0.005156,0.014350,0.017397,0.010963,0.013610,0.015669,0.011272,0.013063,0.250233,0.224213,0.235514,0.229643,0.056558,-0.008465
0.250000,0.062500,0.125000,0.050876,0.005156,0.014350,0.026741,0.015543,0.013992,0.024558,0.015857,0.015074,0.290667,0.251229,0.247029,0.259546,0.076117,0.004418
0.312500,0.062500,0.125000,0.079581,0.005156,0.014350,0.039198,0.021648,0.014502,0.036408,0.021969,0.017756,0.331434,0.280071,0.260882,0.290959,0.092950,0.016848
0.375000,0.062500,0.125000,0.116016,0.005156,0.014350,0.055009,0.029396,0.015149,0.051448,0.029727,0.021159,0.371926,0.309777,0.276585,0.322991,0.107976,0.028451
0.437500,0.062500,0.125000,0.160683,0.005156,0.014350,0.074392,0.038896,0.015942,0.069887,0.039237,0.025330,0.411907,0.339808,0.293684,0.355169,0.121829,0.039167
0.500000,0.062500,0.125000,0.214041,0.005156,0.014350,0.097547,0.050244,0.016889,0.091914,0.050599,0.030314,0.451295,0.369868,0.311804,0.387241,0.134899,0.049064
0.562500,0.062500,0.125000,0.276518,0.005156,0.014350,0.124659,0.063531,0.017999,0.117705,0.063902,0.036149,0.490078,0.399795,0.330649,0.419077,0.147422,0.058256
0.625000,0.062500,0.125000,0.348510,0.005156,0.014350,0.155900,0.078841,0.019277,0.147424,0.079231,0.042873,0.528270,0.429501,0.349996,0.450612,0.159540,0.066853
0.687500,0.062500,0.125000,0.430393,0.005156,0.014350,0.191433,0.096256,0.020731,0.181226,0.096666,0.050521,0.565901,0.458942,0.369679,0.481815,0.171344,0.074956
0.750000,0.062500,0.125000,0.522522,0.005156,0.014350,0.231412,0.115849,0.022367,0.219258,0.116282,0.059126,0.603002,0.488095,0.389577,0.512679,0.182892,0.082646
0.812500,0.062500,0.125000,0.625232,0.005156,0.014350,0.275983,0.137693,0.024191,0.261658,0.138152,0.068719,0.639604,0.516955,0.409599,0.543204,0.194226,0.089993
0.875000,0.062500,0.125000,0.738845,0.005156,0.014350,0.325285,0.161855,0.026208,0.308558,0.162343,0.079330,0.675739,0.545521,0.429682,0.573398,0.205375,0.097050
0.937500,0.062500,0.125000,0.863669,0.005156,0.014350,0.379453,0.188402,0.028424,0.360087,0.188922,0.090989,0.711436,0.573800,0.449776,0.603271,0.216359,0.103861
1.000000,0.062500,0.125000,1.000000,0.005156,0.014350,0.438614,0.217396,0.030845,0.416366,0.217950,0.103722,0.746721,0.601800,0.469848,0.632837,0.227196,0.110461
0.000000,0.125000,0.125000,0.000000,0.014350,0.014350,0.008123,0.011298,0.014095,0.008426,0.011294,0.013010,0.203490,0.224365,0.235191,0.219927,-0.036412,-0.009296
0.062500,0.125000,0.125000,0.005156,0.014350,0.014350,0.010360,0.012395,0.014187,0.010554,0.012392,0.013491,0.219354,0.231410,0.238058,0.228846,-0.020853,-0.005688
0.125000,0.125000,0.125000,0.014350,0.014350,0.014350,0.014350,0.014350,0.014350,0.014350,0.014350,0.014350,0.243005,0.243005,0.243005,0.243005,-0.000000,0.000000
0.187500,0.125000,0.125000,0.029343,0.014350,0.014350,0.020856,0.017538,0.014616,0.020539,0.017542,0.015750,0.273859,0.259834,0.250666,0.262823,0.023612,0.007777
0.250000,0.125000,0.125000,0.050876,0.014350,0.014350,0.030200,0.022118,0.014998,0.029428,0.022127,0.017761,0.308737,0.280743,0.260911,0.286715,0.046435,0.016763
0.312500,0.125000,0.125000,0.079581,0.014350,0.014350,0.042657,0.028223,0.015508,0.041278,0.028239,0.020442,0.345600,0.304522,0.273429,0.313294,0.067241,0.026208
0.375000,0.125000,0.125000,0.116016,0.014350,0.014350,0.058468,0.035972,0.016155,0.056319,0.035997,0.023845,0.383311,0.330185,0.287829,0.341538,0.085999,0.035628
0.437500,0.125000,0.125000,0.160683,0.014350,0.014350,0.077851,0.045471,0.016948,0.074758,0.045508,0.028017,0.421261,0.357023,0.303721,0.370759,0.103047,0.044768
0.500000,0.125000,0.125000,0.214041,0.014350,0.014350,0.101006,0.056819,0.017896,0.096784,0.056869,0.033001,0.459130,0.384556,0.320757,0.400510,0.118758,0.053525
0.562500,0.125000,0.125000,0.276518,0.014350,0.014350,0.128118,0.070106,0.019005,0.122575,0.070172,0.038836,0.496746,0.412467,0.338646,0.430504,0.133442,0.061880
0.625000,0.125000,0.125000,0.348510,0.014350,0.014350,0.159359,0.085417,0.020283,0.152295,0.085502,0.045560,0.534025,0.440546,0.357160,0.460559,0.147328,0.069854
0.687500,0.125000,0.125000,0.430393,0.014350,0.014350,0.194892,0.102831,0.021737,0.186097,0.102937,0.053208,0.570926,0.468659,0.376120,0.490558,0.160587,0.077483
0.750000,0.125000,0.125000,0.522522,0.014350,0.014350,0.234871,0.122424,0.023373,0.224128,0.122553,0.061813,0.607434,0.496716,0.395391,0.520430,0.173343,0.084807
0.812500,0.125000,0.125000,0.625232,0.014350,0.014350,0.279442,0.144268,0.025197,0.266528,0.144423,0.071406,0.643548,0.524661,0.414870,0.550128,0.185688,0.091865
0.875000,0.125000,0.125000,0.738845,0.014350,0.014350,0.328744,0.168430,0.027214,0.313429,0.168614,0.082017,0.679276,0.552456,0.434479,0.579627,0.197689,0.098691
0.937500,0.125000,0.125000,0.863669,0.014350,0.014350,0.382912,0.194977,0.029431,0.364958,0.195193,0.093676,0.714629,0.580080,0.454161,0.608909,0.209400,0.105313
1.000000,0.125000,0.125000,1.000000,0.014350,0.014350,0.442073,0.223971,0.031852,0.421236,0.224221,0.106409,0.749621,0.607517,0.473871,0.637968,0.220861,0.111758
0.000000,0.187500,0.125000,0.000000,0.029343,0.014350,0.013763,0.022020,0.015736,0.016368,0.021520,0.017391,0.253903,0.278151,0.259085,0.273126,-0.056553,0.014790
0.062500,0.187500,0.125000,0.005156,0.029343,0.014350,0.016001,0.023117,0.015828,0.018497,0.022618,0.017873,0.264463,0.282803,0.261455,0.279030,-0.045895,0.016788
0.125000,0.187500,0.125000,0.014350,0.029343,0.014350,0.019990,0.025072,0.015991,0.022292,0.024576,0.018731,0.281439,0.290737,0.265577,0.288883,-0.029730,0.020106
0.187500,0.187500,0.125000,0.029343,0.029343,0.014350,0.026497,0.028261,0.016257,0.028481,0.027768,0.020132,0.305389,0.302818,0.272037,0.303484,-0.008783,0.024958
0.250000,0.187500,0.125000,0.050876,0.029343,0.014350,0.035841,0.032840,0.016640,0.037371,0.032353,0.022143,0.334331,0.318643,0.280810,0.322099,0.013983,0.031001
0.312500,0.187500,0.125000,0.079581,0.029343,0.014350,0.048298,0.038945,0.017149,0.049220,0.038465,0.024824,0.366478,0.337563,0.291714,0.343835,0.036534,0.037826
0.375000,0.187500,0.125000,0.116016,0.029343,0.014350,0.064108,0.046694,0.017796,0.064261,0.046223,0.028227,0.400543,0.358883,0.304477,0.367872,0.057889,0.045075
0.437500,0.187500,0.125000,0.160683,0.029343,0.014350,0.083491,0.056193,0.018589,0.082700,0.055734,0.032399,0.435681,0.381979,0.318794,0.393538,0.077752,0.052487
0.500000,0.187500,0.125000,0.214041,0.029343,0.014350,0.106646,0.067541,0.019537,0.104727,0.067095,0.037383,0.471360,0.406347,0.334367,0.420322,0.096162,0.059893
0.562500,0.187500,0.125000,0.276518,0.029343,0.014350,0.133758,0.080828,0.020646,0.130518,0.080398,0.043218,0.507251,0.431600,0.350930,0.447850,0.113288,0.067196
0.625000,0.187500,0.125000,0.348510,0.029343,0.014350,0.164999,0.096139,0.021925,0.160237,0.095727,0.049942,0.543151,0.457451,0.368260,0.475851,0.129325,0.074347
0.687500,0.187500,0.125000,0.430393,0.029343,0.014350,0.200532,0.113553,0.023379,0.194039,0.113162,0.057590,0.578935,0.483690,0.386173,0.504132,0.144454,0.081327
0.750000,0.187500,0.125000,0.522522,0.029343,0.014350,0.240511,0.133146,0.025015,0.232071,0.132779,0.066194,0.614526,0.510164,0.404521,0.532557,0.158826,0.088134
0.812500,0.187500,0.125000,0.625232,0.029343,0.014350,0.285082,0.154990,0.026838,0.274470,0.154648,0.075788,0.649878,0.536762,0.423187,0.561030,0.172567,0.094775
0.875000,0.187500,0.125000,0.738845,0.029343,0.014350,0.334385,0.179153,0.028856,0.321371,0.178840,0.086399,0.684966,0.563406,0.442082,0.589483,0.185778,0.101261
0.937500,0.187500,0.125000,0.863669,0.029343,0.014350,0.388552,0.205699,0.031072,0.372900,0.205418,0.098058,0.719776,0.590037,0.461134,0.617866,0.198539,0.107602
1.000000,0.187500,0.125000,1.000000,0.029343,0.014350,0.447713,0.234693,0.033493,0.429179,0.234447,0.110791,0.754303,0.616616,0.480287,0.646148,0.210917,0.113812
0.000000,0.250000,0.125000,0.000000,0.050876,0.014350,0.021864,0.037420,0.018094,0.027775,0.036206,0.023684,0.302844,0.330822,0.287179,0.325112,-0.075006,0.034569
0.062500,0.250000,0.125000,0.005156,0.050876,0.014350,0.024102,0.038516,0.018185,0.029904,0.037304,0.024166,0.310390,0.334133,0.289112,0.329319,-0.067249,0.035792
0.125000,0.250000,0.125000,0.014350,0.050876,0.014350,0.028091,0.040472,0.018348,0.033699,0.039262,0.025024,0.323002,0.339878,0.292497,0.336520,-0.054730,0.037879
0.187500,0.250000,0.125000,0.029343,0.050876,0.014350,0.034598,0.043660,0.018615,0.039888,0.042454,0.026425,0.341676,0.348851,0.297854,0.347549,-0.037171,0.041054
